0	-0.00040 0.33333
1	0.33512	0.23884
2	0.57532	0.17114
3	0.74272	0.12263
4	0.86693	0.08787
5	0.95309	0.06296
6	1.01746	0.04511
7	1.06320	0.03232
8	1.09235	0.02316
9	1.11819	0.01660
10	1.13576	0.01189
11	1.14613	0.00852
12	1.15956	0.00611
13	1.15865	0.00437
14	1.16264	0.00313
15	1.16274	0.00225
16	1.17296	0.00161
17	1.17444	0.00115
18	1.17275	0.00083
19	1.17652	0.00059
20	1.17496	0.00042
21	1.17571	0.00030
22	1.17548	0.00022
23	1.17668	0.00016
24	1.17582	0.00011
25	1.18399	0.00008
26	1.17221	0.00006
27	1.17020	0.00004
28	1.17238	0.00003
29	1.17255	0.00002
30	1.17455	0.00002
31	1.17537	0.00001
32	1.17523	0.00001
33	1.17751	0.00001
34	1.17706	0.00000
35	1.17815	0.00000
36	1.18124	0.00000
37	1.17957	0.00000
38	1.17206	0.00000
39	1.16892	0.00000
40	1.17861	0.00000
41	1.17040	0.00000
42	1.17611	0.00000
43	1.17601	0.00000
44	1.18259	0.00000
45	1.17570	0.00000
46	1.17439	0.00000
47	1.17662	0.00000
48	1.17665	0.00000
49	1.17612	0.00000
50	1.17408	0.00000
51	1.17224	0.00000
52	1.17686	0.00000
53	1.17188	0.00000
54	1.17281	0.00000
55	1.17990	0.00000
56	1.17465	0.00000
57	1.17549	0.00000
58	1.17861	0.00000
59	1.17501	0.00000
60	1.17900	0.00000
61	1.17487	0.00000
62	1.17895	0.00000
63	1.17780	0.00000
64	1.17527	0.00000
65	1.17331	0.00000
66	1.17278	0.00000
67	1.17510	0.00000
68	1.17459	0.00000
69	1.17468	0.00000
70	1.17886	0.00000
71	1.17502	0.00000
72	1.17934	0.00000
73	1.17431	0.00000
74	1.17883	0.00000
75	1.17434	0.00000
76	1.17644	0.00000
77	1.17882	0.00000
78	1.17467	0.00000
79	1.17459	0.00000
80	1.18192	0.00000
81	1.17876	0.00000
82	1.17461	0.00000
83	1.17786	0.00000
84	1.17483	0.00000
85	1.17803	0.00000
86	1.18016	0.00000
87	1.17110	0.00000
88	1.17900	0.00000
89	1.18028	0.00000
90	1.17605	0.00000
91	1.18115	0.00000
92	1.17637	0.00000
93	1.17220	0.00000
94	1.16933	0.00000
95	1.17491	0.00000
96	1.17805	0.00000
97	1.17686	0.00000
98	1.17715	0.00000
99	1.17418	0.00000
100	1.17634	0.00000
101	1.17099	0.00000
102	1.17363	0.00000
103	1.17345	0.00000
104	1.17747	0.00000
105	1.17587	0.00000
106	1.17244	0.00000
107	1.17588	0.00000
108	1.17384	0.00000
109	1.17391	0.00000
110	1.17850	0.00000
111	1.17625	0.00000
112	1.17710	0.00000
113	1.17856	0.00000
114	1.17645	0.00000
115	1.17756	0.00000
116	1.17796	0.00000
117	1.17942	0.00000
118	1.17734	0.00000
119	1.18015	0.00000
120	1.17598	0.00000
121	1.17577	0.00000
122	1.18101	0.00000
123	1.17438	0.00000
124	1.17590	0.00000
125	1.17867	0.00000
126	1.17636	0.00000
127	1.18012	0.00000
128	1.17901	0.00000
129	1.17678	0.00000
130	1.17358	0.00000
131	1.17761	0.00000
132	1.17176	0.00000
133	1.17664	0.00000
134	1.17833	0.00000
135	1.17655	0.00000
136	1.17855	0.00000
137	1.18203	0.00000
138	1.17868	0.00000
139	1.17671	0.00000
140	1.17783	0.00000
141	1.17719	0.00000
142	1.17196	0.00000
143	1.17466	0.00000
144	1.17958	0.00000
145	1.17578	0.00000
146	1.17766	0.00000
147	1.17289	0.00000
148	1.17610	0.00000
149	1.17771	0.00000
150	1.17182	0.00000
151	1.17695	0.00000
152	1.17536	0.00000
153	1.17309	0.00000
154	1.17580	0.00000
155	1.17022	0.00000
156	1.16952	0.00000
157	1.17238	0.00000
158	1.17294	0.00000
159	1.17239	0.00000
160	1.17073	0.00000
